name,sido,sigg,parcels,lat,lng,near_canoe
[상수원보호] 경상북도 봉화군 #14,경상북도,봉화군,1,37.0163645,128.7320737,False
[상수원보호] 경상북도 봉화군 #15,경상북도,봉화군,1,36.9298388,128.7333434,False
[상수원보호] 경상북도 봉화군 #16,경상북도,봉화군,1,36.9985212,128.8876431,False
[상수원보호] 경상북도 봉화군 #17,경상북도,봉화군,1,36.960117,128.742409,False
[상수원보호] 경상북도 봉화군 #18,경상북도,봉화군,1,37.0542776,129.141243,False
[상수원보호] 경상북도 봉화군 #19,경상북도,봉화군,1,36.9568718,128.9919596,False
[상수원보호] 경상북도 상주시 #1,경상북도,상주시,1,36.4134132,128.1267331,False
[상수원보호] 경상북도 상주시 #2,경상북도,상주시,1,36.2927802,127.9836266,False
[상수원보호] 경상북도 상주시 #3,경상북도,상주시,1,36.5500632,128.1633185,False
[상수원보호] 경상북도 상주시 #4,경상북도,상주시,1,36.515297,128.2659324,False
[상수원보호] 경상북도 안동시 #1,경상북도,안동시,1,36.5440707,128.7792704,False
[상수원보호] 경상북도 안동시 #2,경상북도,안동시,1,36.4345598,128.9133691,False
[상수원보호] 경상북도 안동시 #3,경상북도,안동시,2,36.4732224,128.664508,False
[상수원보호] 경상북도 영덕군 #1,경상북도,영덕군,1,36.5030226,129.428455,False
[상수원보호] 경상북도 영덕군 #2,경상북도,영덕군,1,36.4302671,129.3580695,False
[상수원보호] 경상북도 영덕군 #3,경상북도,영덕군,1,36.5457985,129.3733999,False
[상수원보호] 경상북도 영양군 #1,경상북도,영양군,1,36.7016964,129.0535603,False
[상수원보호] 경상북도 영양군 #2,경상북도,영양군,2,36.7579655,129.2328056,False
[상수원보호] 경상북도 영양군 #3,경상북도,영양군,1,36.6118795,129.0878531,False
[상수원보호] 경상북도 영양군 #4,경상북도,영양군,1,36.7262851,129.1514502,False
[상수원보호] 경상북도 영양군 #5,경상북도,영양군,1,36.6610848,129.1429078,False
[상수원보호] 경상북도 영양군 #6,경상북도,영양군,1,36.7679153,129.209929,False
[상수원보호] 경상북도 영양군 #7,경상북도,영양군,1,36.5528568,129.1327934,False
[상수원보호] 경상북도 영양군 #8,경상북도,영양군,1,36.7359957,129.0225329,False
[상수원보호] 경상북도 영양군 #9,경상북도,영양군,1,36.7033325,129.1783566,False
[상수원보호] 경상북도 영양군 #11,경상북도,영양군,1,36.5361945,129.1556653,False
[상수원보호] 경상북도 영양군 #12,경상북도,영양군,1,36.6284878,129.095338,False
