mnum,name,sido,sigg,dyear,dnum,lat,lng
53100004817020041219UMI1000001001,상수원보호구역,경상남도,진주시,2004,1219,35.2076981,127.975865
53100004817019840000UMI1000001301,상수원보호구역,경상남도,진주시,1984,0000,35.1868007,127.998154
53100004817020040582UMI1000001001,상수원보호구역,경상남도,진주시,2004,0582,35.2511139,127.978737
53100004817020041047UMI1000001001,상수원보호구역,경상남도,진주시,2004,1047,35.2278219,127.9499365
53100004817020041195UMI1000001001,상수원보호구역,경상남도,진주시,2004,1195,35.2074505,127.9960456
53100004817020041180UMI1000001001,상수원보호구역,경상남도,진주시,2004,1180,35.2399487,127.9854866
53100004817020040742UMI1000001001,상수원보호구역,경상남도,진주시,2004,0742,35.1460297,128.0014014
53100004817020040599UMI1000001001,상수원보호구역,경상남도,진주시,2004,0599,35.2649555,127.9925427
53100004817020040537UMI1000001001,상수원보호구역,경상남도,진주시,2004,0537,35.2499314,127.9799285
53100004817020040935UMI1000001001,상수원보호구역,경상남도,진주시,2004,0935,35.1627885,127.9724416
53100004817020040946UMI1000001001,상수원보호구역,경상남도,진주시,2004,0946,35.2420412,127.9945958
53100004817020040866UMI1000001001,상수원보호구역,경상남도,진주시,2004,0866,35.1727962,127.9773008
53100004817020040066UMI1000001001,상수원보호구역,경상남도,진주시,2004,0066,35.1962061,127.9744667
53100004817020040000UMI1000001018,상수원보호구역,경상남도,진주시,2004,0000,35.2651577,127.9922268
53100004817020040892UMI1000001001,상수원보호구역,경상남도,진주시,2004,0892,35.1609559,127.9937236
53100004817020040516UMI1000001001,상수원보호구역,경상남도,진주시,2004,0516,35.2449496,127.9860632
53100004817020040648UMI1000001001,상수원보호구역,경상남도,진주시,2004,0648,35.2587433,127.9866687
53100004817020040925UMI1000001001,상수원보호구역,경상남도,진주시,2004,0925,35.1904172,128.0218413
53100004817020040111UMI1000001001,상수원보호구역,경상남도,진주시,2004,0111,35.1731433,127.9717967
53100004817020040000UMI1000001200,상수원보호구역,경상남도,진주시,2004,0000,35.2243245,127.9481575
53100004817020041208UMI1000001001,상수원보호구역,경상남도,진주시,2004,1208,35.1665114,127.974656
53100004817020060004UMI1000001001,상수원보호구역,경상남도,진주시,2006,0004,35.1900925,128.0216114
53100004817020040649UMI1000001001,상수원보호구역,경상남도,진주시,2004,0649,35.2605654,127.9865941
53100004817020040387UMI1000001001,상수원보호구역,경상남도,진주시,2004,0387,35.1683354,128.033371
